state,district,year,crop,session,area,production,yield,yield_num
2. Andhra Pradesh,3. Anantapur,2020 - 2021,Coconut,Whole Year,417.00,"7,298,000.00","17,501.20",17501.2
2. Andhra Pradesh,3. Anantapur,2021 - 2022,Coconut,Whole Year,422.00,"7,749,000.00","18,362.56",18362.56
2. Andhra Pradesh,3. Anantapur,2022 - 2023,Coconut,Whole Year,122.00,"2,235,000.00","18,319.67",18319.67
2. Andhra Pradesh,4. Annamayya,2022 - 2023,Coconut,Whole Year,265.00,"4,855,000.00","18,320.75",18320.75
2. Andhra Pradesh,5. Bapatla,2022 - 2023,Coconut,Whole Year,72.00,"1,319,000.00","18,319.44",18319.44
2. Andhra Pradesh,6. Chittoor,2020 - 2021,Coconut,Whole Year,"1,996.00","26,698,000.00","13,375.75",13375.75
2. Andhra Pradesh,6. Chittoor,2021 - 2022,Coconut,Whole Year,"1,972.00","26,383,000.00","13,378.80",13378.8
2. Andhra Pradesh,6. Chittoor,2022 - 2023,Coconut,Whole Year,"1,568.00","28,727,000.00","18,320.79",18320.79
2. Andhra Pradesh,7. East godavari,2020 - 2021,Coconut,Whole Year,"50,254.00","914,623,000.00","18,200.00",18200.0
2. Andhra Pradesh,7. East godavari,2021 - 2022,Coconut,Whole Year,"49,411.00","898,588,000.00","18,185.99",18185.99
2. Andhra Pradesh,7. East godavari,2022 - 2023,Coconut,Whole Year,"8,085.00","115,737,000.00","14,315.03",14315.03
2. Andhra Pradesh,7. East godavari,2022 - 2023,Black pepper,Whole Year,6.00,3.00,0.50,0.5
2. Andhra Pradesh,8. Eluru,2022 - 2023,Coconut,Whole Year,"13,621.00","371,458,000.00","27,270.98",27270.98
2. Andhra Pradesh,8. Eluru,2022 - 2023,Black pepper,Whole Year,90.00,10.00,0.11,0.11
2. Andhra Pradesh,9. Guntur,2020 - 2021,Coconut,Whole Year,95.00,"1,663,000.00","17,505.26",17505.26
2. Andhra Pradesh,9. Guntur,2021 - 2022,Coconut,Whole Year,109.00,"2,001,000.00","18,357.80",18357.8
2. Andhra Pradesh,9. Guntur,2022 - 2023,Coconut,Whole Year,19.00,"348,000.00","18,315.79",18315.79
2. Andhra Pradesh,10. Kadapa,2020 - 2021,Coconut,Whole Year,81.00,"1,418,000.00","17,506.17",17506.17
2. Andhra Pradesh,10. Kadapa,2021 - 2022,Coconut,Whole Year,67.00,"1,230,000.00","18,358.21",18358.21
2. Andhra Pradesh,10. Kadapa,2022 - 2023,Coconut,Whole Year,11.00,"202,000.00","18,363.64",18363.64
2. Andhra Pradesh,11. Kakinada,2022 - 2023,Coconut,Whole Year,"2,882.00","52,801,000.00","18,320.96",18320.96
2. Andhra Pradesh,12. Konaseema,2022 - 2023,Coconut,Whole Year,"39,169.00","674,764,000.00","17,226.99",17226.99
2. Andhra Pradesh,13. Krishna,2020 - 2021,Coconut,Whole Year,"1,444.00","25,271,000.00","17,500.69",17500.69
2. Andhra Pradesh,13. Krishna,2021 - 2022,Coconut,Whole Year,"1,544.00","34,510,000.00","22,351.04",22351.04
2. Andhra Pradesh,13. Krishna,2022 - 2023,Coconut,Whole Year,846.00,"15,500,000.00","18,321.51",18321.51
2. Andhra Pradesh,14. Kurnool,2020 - 2021,Coconut,Whole Year,22.00,"385,000.00","17,500.00",17500.0
2. Andhra Pradesh,14. Kurnool,2021 - 2022,Coconut,Whole Year,19.00,"349,000.00","18,368.42",18368.42
2. Andhra Pradesh,14. Kurnool,2022 - 2023,Coconut,Whole Year,13.00,"238,000.00","18,307.69",18307.69
2. Andhra Pradesh,15. Nandyal,2022 - 2023,Coconut,Whole Year,8.00,"147,000.00","18,375.00",18375.0
2. Andhra Pradesh,16. Ntr,2022 - 2023,Coconut,Whole Year,72.00,"1,319,000.00","18,319.44",18319.44
2. Andhra Pradesh,17. Palnadu,2022 - 2023,Coconut,Whole Year,12.00,"220,000.00","18,333.33",18333.33
2. Andhra Pradesh,18. Parvathipuram manyam,2022 - 2023,Coconut,Whole Year,104.00,"1,905,000.00","18,317.31",18317.31
2. Andhra Pradesh,19. Prakasam,2020 - 2021,Coconut,Whole Year,55.00,"963,000.00","17,509.09",17509.09
2. Andhra Pradesh,19. Prakasam,2021 - 2022,Coconut,Whole Year,50.00,"918,000.00","18,360.00",18360.0
2. Andhra Pradesh,19. Prakasam,2022 - 2023,Coconut,Whole Year,20.00,"366,000.00","18,300.00",18300.0
2. Andhra Pradesh,20. Spsr nellore,2020 - 2021,Coconut,Whole Year,335.00,"5,863,000.00","17,501.49",17501.49
2. Andhra Pradesh,20. Spsr nellore,2021 - 2022,Coconut,Whole Year,343.00,"6,298,000.00","18,361.52",18361.52
2. Andhra Pradesh,20. Spsr nellore,2022 - 2023,Coconut,Whole Year,364.00,"6,669,000.00","18,321.43",18321.43
2. Andhra Pradesh,21. Sri sathya sai,2022 - 2023,Coconut,Whole Year,387.00,"7,090,000.00","18,320.41",18320.41
2. Andhra Pradesh,22. Srikakulam,2020 - 2021,Coconut,Whole Year,"15,066.00","108,641,000.00","7,211.00",7211.0
2. Andhra Pradesh,22. Srikakulam,2021 - 2022,Coconut,Whole Year,"15,010.00","77,151,000.00","5,139.97",5139.97
2. Andhra Pradesh,22. Srikakulam,2022 - 2023,Coconut,Whole Year,"14,976.00","147,274,000.00","9,834.00",9834.0
2. Andhra Pradesh,23. Tirupati,2022 - 2023,Coconut,Whole Year,172.00,"3,151,000.00","18,319.77",18319.77
2. Andhra Pradesh,24. Visakhapatanam,2020 - 2021,Coconut,Whole Year,"7,658.00","104,930,000.00","13,702.01",13702.01
2. Andhra Pradesh,24. Visakhapatanam,2021 - 2022,Coconut,Whole Year,"7,936.00","104,954,000.00","13,225.05",13225.05
2. Andhra Pradesh,24. Visakhapatanam,2022 - 2023,Coconut,Whole Year,478.00,"8,757,000.00","18,320.08",18320.08
2. Andhra Pradesh,25. Vizianagaram,2020 - 2021,Coconut,Whole Year,"3,141.00","44,147,000.00","14,055.08",14055.08
2. Andhra Pradesh,25. Vizianagaram,2021 - 2022,Coconut,Whole Year,"3,079.00","52,700,000.00","17,115.95",17115.95
2. Andhra Pradesh,25. Vizianagaram,2022 - 2023,Coconut,Whole Year,"3,250.00","58,812,000.00","18,096.00",18096.0
2. Andhra Pradesh,26. West godavari,2020 - 2021,Coconut,Whole Year,"24,423.00","595,433,000.00","24,380.01",24380.01
2. Andhra Pradesh,26. West godavari,2021 - 2022,Coconut,Whole Year,"26,639.00","743,015,000.00","27,892.00",27892.0
2. Andhra Pradesh,26. West godavari,2022 - 2023,Coconut,Whole Year,"7,585.00","258,793,000.00","34,119.05",34119.05
3. Arunachal Pradesh,1. Anjaw,2020 - 2021,Dry chillies,Whole Year,60.00,197.00,3.28,3.28
3. Arunachal Pradesh,1. Anjaw,2020 - 2021,Ginger,Whole Year,68.00,328.00,4.82,4.82
3. Arunachal Pradesh,1. Anjaw,2020 - 2021,Potato,Whole Year,83.00,490.00,5.90,5.9
3. Arunachal Pradesh,1. Anjaw,2020 - 2021,Turmeric,Whole Year,41.00,139.00,3.39,3.39
3. Arunachal Pradesh,1. Anjaw,2021 - 2022,Dry chillies,Whole Year,63.00,210.00,3.33,3.33
3. Arunachal Pradesh,1. Anjaw,2021 - 2022,Ginger,Whole Year,69.00,358.00,5.19,5.19
3. Arunachal Pradesh,1. Anjaw,2021 - 2022,Potato,Whole Year,84.00,496.00,5.90,5.9
3. Arunachal Pradesh,1. Anjaw,2021 - 2022,Turmeric,Whole Year,48.00,163.00,3.40,3.4
3. Arunachal Pradesh,1. Anjaw,2022 - 2023,Dry chillies,Whole Year,65.00,217.00,3.34,3.34
3. Arunachal Pradesh,1. Anjaw,2022 - 2023,Ginger,Whole Year,75.00,389.00,5.19,5.19
3. Arunachal Pradesh,1. Anjaw,2022 - 2023,Potato,Whole Year,86.00,508.00,5.91,5.91
3. Arunachal Pradesh,1. Anjaw,2022 - 2023,Turmeric,Whole Year,52.00,176.00,3.38,3.38
3. Arunachal Pradesh,2. Changlang,2020 - 2021,Dry chillies,Whole Year,769.00,"2,601.00",3.38,3.38
3. Arunachal Pradesh,2. Changlang,2020 - 2021,Ginger,Whole Year,577.00,"4,188.00",7.26,7.26
3. Arunachal Pradesh,2. Changlang,2020 - 2021,Potato,Whole Year,169.00,"1,147.00",6.79,6.79
3. Arunachal Pradesh,2. Changlang,2020 - 2021,Turmeric,Whole Year,104.00,317.00,3.05,3.05
3. Arunachal Pradesh,2. Changlang,2020 - 2021,Sugarcane,Whole Year,597.00,"8,818.00",14.77,14.77
3. Arunachal Pradesh,2. Changlang,2021 - 2022,Dry chillies,Whole Year,798.00,"2,761.00",3.46,3.46
3. Arunachal Pradesh,2. Changlang,2021 - 2022,Ginger,Whole Year,592.00,"4,332.00",7.32,7.32
3. Arunachal Pradesh,2. Changlang,2021 - 2022,Potato,Whole Year,172.00,"1,166.00",6.78,6.78
3. Arunachal Pradesh,2. Changlang,2021 - 2022,Turmeric,Whole Year,115.00,350.00,3.04,3.04
3. Arunachal Pradesh,2. Changlang,2021 - 2022,Sugarcane,Whole Year,597.00,"8,818.00",14.77,14.77
3. Arunachal Pradesh,2. Changlang,2022 - 2023,Dry chillies,Whole Year,799.00,"2,767.00",3.46,3.46
3. Arunachal Pradesh,2. Changlang,2022 - 2023,Ginger,Whole Year,606.00,"4,437.00",7.32,7.32
3. Arunachal Pradesh,2. Changlang,2022 - 2023,Potato,Whole Year,176.00,"1,194.00",6.78,6.78
3. Arunachal Pradesh,2. Changlang,2022 - 2023,Turmeric,Whole Year,127.00,387.00,3.05,3.05
3. Arunachal Pradesh,2. Changlang,2022 - 2023,Sugarcane,Whole Year,599.00,"8,848.00",14.77,14.77
3. Arunachal Pradesh,3. Dibang valley,2020 - 2021,Dry chillies,Whole Year,93.00,228.00,2.45,2.45
3. Arunachal Pradesh,3. Dibang valley,2020 - 2021,Ginger,Whole Year,161.00,776.00,4.82,4.82
3. Arunachal Pradesh,3. Dibang valley,2020 - 2021,Potato,Whole Year,172.00,990.00,5.76,5.76
3. Arunachal Pradesh,3. Dibang valley,2021 - 2022,Dry chillies,Whole Year,98.00,260.00,2.65,2.65
3. Arunachal Pradesh,3. Dibang valley,2021 - 2022,Ginger,Whole Year,168.00,855.00,5.09,5.09
3. Arunachal Pradesh,3. Dibang valley,2021 - 2022,Potato,Whole Year,176.00,"1,013.00",5.76,5.76
3. Arunachal Pradesh,3. Dibang valley,2022 - 2023,Dry chillies,Whole Year,99.00,263.00,2.66,2.66
3. Arunachal Pradesh,3. Dibang valley,2022 - 2023,Ginger,Whole Year,170.00,864.00,5.08,5.08
3. Arunachal Pradesh,3. Dibang valley,2022 - 2023,Potato,Whole Year,179.00,"1,031.00",5.76,5.76
3. Arunachal Pradesh,4. East kameng,2020 - 2021,Dry chillies,Whole Year,104.00,315.00,3.03,3.03
3. Arunachal Pradesh,4. East kameng,2020 - 2021,Ginger,Whole Year,99.00,453.00,4.58,4.58
3. Arunachal Pradesh,4. East kameng,2020 - 2021,Potato,Whole Year,118.00,756.00,6.41,6.41
3. Arunachal Pradesh,4. East kameng,2021 - 2022,Dry chillies,Whole Year,110.00,352.00,3.20,3.2
3. Arunachal Pradesh,4. East kameng,2021 - 2022,Ginger,Whole Year,103.00,509.00,4.94,4.94
3. Arunachal Pradesh,4. East kameng,2021 - 2022,Potato,Whole Year,121.00,776.00,6.41,6.41
3. Arunachal Pradesh,4. East kameng,2022 - 2023,Dry chillies,Whole Year,111.00,356.00,3.21,3.21
3. Arunachal Pradesh,4. East kameng,2022 - 2023,Ginger,Whole Year,110.00,544.00,4.95,4.95
3. Arunachal Pradesh,4. East kameng,2022 - 2023,Potato,Whole Year,126.00,808.00,6.41,6.41
3. Arunachal Pradesh,5. East siang,2020 - 2021,Dry chillies,Whole Year,191.00,553.00,2.90,2.9
3. Arunachal Pradesh,5. East siang,2020 - 2021,Ginger,Whole Year,658.00,"4,766.00",7.24,7.24
3. Arunachal Pradesh,5. East siang,2020 - 2021,Potato,Whole Year,485.00,"3,148.00",6.49,6.49
3. Arunachal Pradesh,5. East siang,2020 - 2021,Turmeric,Whole Year,123.00,567.00,4.61,4.61
3. Arunachal Pradesh,5. East siang,2020 - 2021,Sugarcane,Whole Year,184.00,"7,070.00",38.42,38.42
3. Arunachal Pradesh,5. East siang,2021 - 2022,Dry chillies,Whole Year,201.00,602.00,3.00,3.0
3. Arunachal Pradesh,5. East siang,2021 - 2022,Ginger,Whole Year,674.00,"4,931.00",7.32,7.32
3. Arunachal Pradesh,5. East siang,2021 - 2022,Potato,Whole Year,499.00,"3,439.00",6.89,6.89
3. Arunachal Pradesh,5. East siang,2021 - 2022,Turmeric,Whole Year,137.00,632.00,4.61,4.61
3. Arunachal Pradesh,5. East siang,2021 - 2022,Sugarcane,Whole Year,184.00,"7,070.00",38.42,38.42
3. Arunachal Pradesh,5. East siang,2022 - 2023,Dry chillies,Whole Year,205.00,615.00,3.00,3.0
3. Arunachal Pradesh,5. East siang,2022 - 2023,Ginger,Whole Year,686.00,"5,022.00",7.32,7.32
3. Arunachal Pradesh,5. East siang,2022 - 2023,Potato,Whole Year,509.00,"3,511.00",6.90,6.9
3. Arunachal Pradesh,5. East siang,2022 - 2023,Turmeric,Whole Year,142.00,656.00,4.62,4.62
3. Arunachal Pradesh,5. East siang,2022 - 2023,Sugarcane,Whole Year,185.00,"7,109.00",38.43,38.43
3. Arunachal Pradesh,6. Kamle,2020 - 2021,Dry chillies,Whole Year,107.00,295.00,2.76,2.76
3. Arunachal Pradesh,6. Kamle,2020 - 2021,Ginger,Whole Year,127.00,753.00,5.93,5.93
3. Arunachal Pradesh,6. Kamle,2020 - 2021,Potato,Whole Year,177.00,"1,447.00",8.18,8.18
3. Arunachal Pradesh,6. Kamle,2020 - 2021,Sugarcane,Whole Year,53.00,"1,575.00",29.72,29.72
3. Arunachal Pradesh,6. Kamle,2021 - 2022,Dry chillies,Whole Year,115.00,336.00,2.92,2.92
3. Arunachal Pradesh,6. Kamle,2021 - 2022,Ginger,Whole Year,133.00,828.00,6.23,6.23
3. Arunachal Pradesh,6. Kamle,2021 - 2022,Potato,Whole Year,180.00,"1,465.00",8.14,8.14
3. Arunachal Pradesh,6. Kamle,2021 - 2022,Sugarcane,Whole Year,53.00,"1,575.00",29.72,29.72
3. Arunachal Pradesh,6. Kamle,2022 - 2023,Dry chillies,Whole Year,117.00,342.00,2.92,2.92
3. Arunachal Pradesh,6. Kamle,2022 - 2023,Ginger,Whole Year,138.00,859.00,6.22,6.22
3. Arunachal Pradesh,6. Kamle,2022 - 2023,Potato,Whole Year,183.00,"1,490.00",8.14,8.14
3. Arunachal Pradesh,6. Kamle,2022 - 2023,Sugarcane,Whole Year,53.00,"1,575.00",29.72,29.72
3. Arunachal Pradesh,7. Kra daadi,2020 - 2021,Dry chillies,Whole Year,163.00,357.00,2.19,2.19
3. Arunachal Pradesh,7. Kra daadi,2020 - 2021,Ginger,Whole Year,22.00,134.00,6.09,6.09
3. Arunachal Pradesh,7. Kra daadi,2020 - 2021,Potato,Whole Year,110.00,247.00,2.25,2.25
3. Arunachal Pradesh,7. Kra daadi,2020 - 2021,Sugarcane,Whole Year,110.00,"1,394.00",12.67,12.67
3. Arunachal Pradesh,7. Kra daadi,2021 - 2022,Dry chillies,Whole Year,176.00,407.00,2.31,2.31
3. Arunachal Pradesh,7. Kra daadi,2021 - 2022,Ginger,Whole Year,23.00,144.00,6.26,6.26
3. Arunachal Pradesh,7. Kra daadi,2021 - 2022,Potato,Whole Year,113.00,254.00,2.25,2.25
3. Arunachal Pradesh,7. Kra daadi,2021 - 2022,Sugarcane,Whole Year,110.00,"1,394.00",12.67,12.67
3. Arunachal Pradesh,7. Kra daadi,2022 - 2023,Dry chillies,Whole Year,178.00,412.00,2.31,2.31
3. Arunachal Pradesh,7. Kra daadi,2022 - 2023,Ginger,Whole Year,26.00,162.00,6.23,6.23
3. Arunachal Pradesh,7. Kra daadi,2022 - 2023,Potato,Whole Year,117.00,263.00,2.25,2.25
3. Arunachal Pradesh,7. Kra daadi,2022 - 2023,Sugarcane,Whole Year,110.00,"1,395.00",12.68,12.68
3. Arunachal Pradesh,8. Kurung kumey,2020 - 2021,Dry chillies,Whole Year,103.00,249.00,2.42,2.42
3. Arunachal Pradesh,8. Kurung kumey,2020 - 2021,Ginger,Whole Year,19.00,108.00,5.68,5.68
3. Arunachal Pradesh,8. Kurung kumey,2020 - 2021,Potato,Whole Year,90.00,327.00,3.63,3.63
3. Arunachal Pradesh,8. Kurung kumey,2020 - 2021,Sugarcane,Whole Year,70.00,942.00,13.46,13.46
3. Arunachal Pradesh,8. Kurung kumey,2021 - 2022,Dry chillies,Whole Year,110.00,286.00,2.60,2.6
3. Arunachal Pradesh,8. Kurung kumey,2021 - 2022,Ginger,Whole Year,20.00,128.00,6.40,6.4
3. Arunachal Pradesh,8. Kurung kumey,2021 - 2022,Potato,Whole Year,91.00,330.00,3.63,3.63
3. Arunachal Pradesh,8. Kurung kumey,2021 - 2022,Sugarcane,Whole Year,70.00,942.00,13.46,13.46
3. Arunachal Pradesh,8. Kurung kumey,2022 - 2023,Dry chillies,Whole Year,112.00,292.00,2.61,2.61
3. Arunachal Pradesh,8. Kurung kumey,2022 - 2023,Ginger,Whole Year,23.00,136.00,5.91,5.91
3. Arunachal Pradesh,8. Kurung kumey,2022 - 2023,Potato,Whole Year,94.00,341.00,3.63,3.63
3. Arunachal Pradesh,8. Kurung kumey,2022 - 2023,Sugarcane,Whole Year,70.00,942.00,13.46,13.46
3. Arunachal Pradesh,9. Leparada,2020 - 2021,Dry chillies,Whole Year,38.00,111.00,2.92,2.92
3. Arunachal Pradesh,9. Leparada,2020 - 2021,Ginger,Whole Year,63.00,453.00,7.19,7.19
3. Arunachal Pradesh,9. Leparada,2020 - 2021,Potato,Whole Year,82.00,564.00,6.88,6.88
3. Arunachal Pradesh,9. Leparada,2020 - 2021,Turmeric,Whole Year,16.00,67.00,4.19,4.19
3. Arunachal Pradesh,9. Leparada,2020 - 2021,Sugarcane,Whole Year,31.00,873.00,28.16,28.16
3. Arunachal Pradesh,9. Leparada,2021 - 2022,Dry chillies,Whole Year,40.00,143.00,3.58,3.58
3. Arunachal Pradesh,9. Leparada,2021 - 2022,Ginger,Whole Year,64.00,485.00,7.58,7.58
3. Arunachal Pradesh,9. Leparada,2021 - 2022,Potato,Whole Year,83.00,640.00,7.71,7.71
3. Arunachal Pradesh,9. Leparada,2021 - 2022,Turmeric,Whole Year,23.00,96.00,4.17,4.17
3. Arunachal Pradesh,9. Leparada,2021 - 2022,Sugarcane,Whole Year,31.00,873.00,28.16,28.16
3. Arunachal Pradesh,9. Leparada,2022 - 2023,Dry chillies,Whole Year,47.00,169.00,3.60,3.6
3. Arunachal Pradesh,9. Leparada,2022 - 2023,Ginger,Whole Year,75.00,569.00,7.59,7.59
3. Arunachal Pradesh,9. Leparada,2022 - 2023,Potato,Whole Year,87.00,671.00,7.71,7.71
3. Arunachal Pradesh,9. Leparada,2022 - 2023,Turmeric,Whole Year,27.00,113.00,4.19,4.19
3. Arunachal Pradesh,9. Leparada,2022 - 2023,Sugarcane,Whole Year,31.00,873.00,28.16,28.16
3. Arunachal Pradesh,10. Lohit,2020 - 2021,Dry chillies,Whole Year,96.00,293.00,3.05,3.05
3. Arunachal Pradesh,10. Lohit,2020 - 2021,Ginger,Whole Year,160.00,"1,174.00",7.34,7.34
3. Arunachal Pradesh,10. Lohit,2020 - 2021,Potato,Whole Year,399.00,"3,201.00",8.02,8.02
3. Arunachal Pradesh,10. Lohit,2020 - 2021,Turmeric,Whole Year,61.00,306.00,5.02,5.02
3. Arunachal Pradesh,10. Lohit,2020 - 2021,Sugarcane,Whole Year,31.00,793.00,25.58,25.58
3. Arunachal Pradesh,10. Lohit,2021 - 2022,Dry chillies,Whole Year,102.00,331.00,3.25,3.25
3. Arunachal Pradesh,10. Lohit,2021 - 2022,Ginger,Whole Year,166.00,"1,256.00",7.57,7.57
3. Arunachal Pradesh,10. Lohit,2021 - 2022,Potato,Whole Year,409.00,"3,272.00",8.00,8.0
3. Arunachal Pradesh,10. Lohit,2021 - 2022,Turmeric,Whole Year,72.00,359.00,4.99,4.99
3. Arunachal Pradesh,10. Lohit,2021 - 2022,Sugarcane,Whole Year,31.00,793.00,25.58,25.58
3. Arunachal Pradesh,10. Lohit,2022 - 2023,Dry chillies,Whole Year,104.00,338.00,3.25,3.25
3. Arunachal Pradesh,10. Lohit,2022 - 2023,Ginger,Whole Year,174.00,"1,317.00",7.57,7.57
3. Arunachal Pradesh,10. Lohit,2022 - 2023,Potato,Whole Year,415.00,"3,322.00",8.00,8.0
3. Arunachal Pradesh,10. Lohit,2022 - 2023,Turmeric,Whole Year,78.00,389.00,4.99,4.99
3. Arunachal Pradesh,10. Lohit,2022 - 2023,Sugarcane,Whole Year,32.00,819.00,25.59,25.59
3. Arunachal Pradesh,11. Longding,2020 - 2021,Dry chillies,Whole Year,92.00,310.00,3.37,3.37
3. Arunachal Pradesh,11. Longding,2020 - 2021,Ginger,Whole Year,43.00,285.00,6.63,6.63
3. Arunachal Pradesh,11. Longding,2020 - 2021,Potato,Whole Year,93.00,518.00,5.57,5.57
3. Arunachal Pradesh,11. Longding,2021 - 2022,Dry chillies,Whole Year,96.00,342.00,3.56,3.56
3. Arunachal Pradesh,11. Longding,2021 - 2022,Ginger,Whole Year,44.00,302.00,6.86,6.86
3. Arunachal Pradesh,11. Longding,2021 - 2022,Potato,Whole Year,94.00,524.00,5.57,5.57
3. Arunachal Pradesh,11. Longding,2022 - 2023,Dry chillies,Whole Year,98.00,350.00,3.57,3.57
3. Arunachal Pradesh,11. Longding,2022 - 2023,Ginger,Whole Year,49.00,336.00,6.86,6.86
3. Arunachal Pradesh,11. Longding,2022 - 2023,Potato,Whole Year,97.00,541.00,5.58,5.58
3. Arunachal Pradesh,12. Lower dibang valley,2020 - 2021,Dry chillies,Whole Year,204.00,596.00,2.92,2.92
3. Arunachal Pradesh,12. Lower dibang valley,2020 - 2021,Ginger,Whole Year,"2,956.00","22,689.00",7.68,7.68
3. Arunachal Pradesh,12. Lower dibang valley,2020 - 2021,Potato,Whole Year,434.00,"3,187.00",7.34,7.34
3. Arunachal Pradesh,12. Lower dibang valley,2020 - 2021,Turmeric,Whole Year,128.00,824.00,6.44,6.44
3. Arunachal Pradesh,12. Lower dibang valley,2020 - 2021,Sugarcane,Whole Year,135.00,"2,607.00",19.31,19.31
3. Arunachal Pradesh,12. Lower dibang valley,2021 - 2022,Dry chillies,Whole Year,216.00,652.00,3.02,3.02
3. Arunachal Pradesh,12. Lower dibang valley,2021 - 2022,Ginger,Whole Year,"3,020.00","23,312.00",7.72,7.72
3. Arunachal Pradesh,12. Lower dibang valley,2021 - 2022,Potato,Whole Year,444.00,"3,359.00",7.57,7.57
3. Arunachal Pradesh,12. Lower dibang valley,2021 - 2022,Turmeric,Whole Year,143.00,921.00,6.44,6.44
3. Arunachal Pradesh,12. Lower dibang valley,2021 - 2022,Sugarcane,Whole Year,135.00,"2,607.00",19.31,19.31
3. Arunachal Pradesh,12. Lower dibang valley,2022 - 2023,Dry chillies,Whole Year,219.00,662.00,3.02,3.02
3. Arunachal Pradesh,12. Lower dibang valley,2022 - 2023,Ginger,Whole Year,"3,036.00","23,450.00",7.72,7.72
3. Arunachal Pradesh,12. Lower dibang valley,2022 - 2023,Potato,Whole Year,451.00,"3,414.00",7.57,7.57
3. Arunachal Pradesh,12. Lower dibang valley,2022 - 2023,Turmeric,Whole Year,152.00,983.00,6.47,6.47
3. Arunachal Pradesh,12. Lower dibang valley,2022 - 2023,Sugarcane,Whole Year,137.00,"2,646.00",19.31,19.31
3. Arunachal Pradesh,13. Lower siang,2020 - 2021,Dry chillies,Whole Year,171.00,496.00,2.90,2.9
3. Arunachal Pradesh,13. Lower siang,2020 - 2021,Ginger,Whole Year,381.00,"2,729.00",7.16,7.16
3. Arunachal Pradesh,13. Lower siang,2020 - 2021,Potato,Whole Year,396.00,"2,657.00",6.71,6.71
3. Arunachal Pradesh,13. Lower siang,2020 - 2021,Turmeric,Whole Year,82.00,315.00,3.84,3.84
3. Arunachal Pradesh,13. Lower siang,2020 - 2021,Sugarcane,Whole Year,130.00,"4,745.00",36.50,36.5
3. Arunachal Pradesh,13. Lower siang,2021 - 2022,Dry chillies,Whole Year,179.00,539.00,3.01,3.01
3. Arunachal Pradesh,13. Lower siang,2021 - 2022,Ginger,Whole Year,399.00,"2,896.00",7.26,7.26
3. Arunachal Pradesh,13. Lower siang,2021 - 2022,Potato,Whole Year,404.00,"2,711.00",6.71,6.71
